sale_id,表示順,カテゴリ,カテゴリ色,タイトル,本文
2026-06-ss,1,国内宿泊,,"エントリー＆ご旅行で
最大全額ポイントバック","抽選で<span class=""hl"">2,500名様</span>に最大全額ポイントバック！
楽天モバイルご利用で<span class=""hl"">当選確率2倍</span>に。"
2026-06-ss,2,海外旅行,overseas,"エントリー＆対象ホテル予約で
ポイント還元","エントリー＆予約で<span class=""hl"">+15%ポイント還元</span>
ポイントUPプランなら<span class=""hl"">最大35%還元</span>
<span style=""font-size:.72rem;color:#aaa;"">*ポイント20%プラン利用時</span>"
2026-09-ss,1,国内宿泊,,"エントリー＆ご旅行で
最大全額ポイントバック","抽選で<span class=""hl"">2,500名様</span>に最大全額ポイントバック！
楽天モバイルご利用で<span class=""hl"">当選確率2倍</span>に。
<span style=""font-size:.72rem;color:#aaa;"">*エントリー必須・金額条件あり・期間限定ポイント</span>"
