sale_id,公開,種別,セール名,開始日時,終了日時,ひとこと説明,セールURL,スケジュール公開日,期別ラベル,5と0の日開催時間,hero_eyebrow,hero_title,hero_sub,hero_note,cta_label,cta_url,スケジュール期間,チケット訴求,ランキング見出し,ランキング副題,ランキング説明タイトル,ランキング説明,フッター
common,TRUE,common,,,,,https://travel.rakuten.co.jp/camp/50luxday/top/?l-id=camp_50luxday_top,,,72時間,RAKUTEN TRAVEL AFFILIATE,"毎月5と0のつく日は
<span class=""pct"">ポイントUP</span>","エントリー＆予約でポイントアップ。毎月5・10・15・20・25・30日が狙い目です。
旅行日が先でも、予約日をこの日に合わせるだけでお得になります。",※ 掲載前に楽天トラベルの最新の告知内容をご確認ください,5と0の日をチェックする,https://travel.rakuten.co.jp/camp/50luxday/top/?l-id=camp_50luxday_top,,,"インフルエンサー予約
人気ホテルランキング",UUUM所属のインフルエンサー経由で、実際に予約が入ったホテルの実績ランキングです。,人気ホテルランキングについて,UUUMが管理するインフルエンサーが楽天トラベルアフィリエイトを通じて読者・視聴者に紹介し、実際に予約が入ったホテルの集計データです。全体TOP10とエリア別TOP3を掲載しています。訴求するホテル選びの参考にご活用ください。,楽天トラベルアフィリエイト 攻略サイト ／ UUUM株式会社
2026-06-ss,TRUE,supersale,楽天トラベル スーパーSALE,2026-05-31 10:00,2026-06-20 23:59,旅行予約が毎日最大30%OFF。5と0のつく日と重なる期間が狙い目です。,https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten,2026-05-25,2026年6月,,RAKUTEN TRAVEL SUPER SALE 2026,"旅行予約が毎日
最大<span class=""pct"">30%</span>OFF","楽天トラベル スーパーSALEが6月4日(木)20時より開幕！
初めてのアプリ予約なら最大<strong>35%OFF</strong>でさらにお得。",* メイン訴求の最大割引率が20%→30%OFFに拡大,▶ 今すぐチェックする,https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten,5月31日〜6月20日 ／ 全21日 ／ 汎用コピー案（チャネルに合わせて適宜調整してください）,「最大30%OFF！さらにお得な割引商品販売中！」,"インフルエンサー予約
人気ホテルランキング <span class=""year"">2025年版</span>",2025年6月 楽天トラベル スーパーSALEにてインフルエンサーから予約されたホテルの実績ランキングです。,2025年6月スーパーSALE インフルエンサー予約ランキングについて,UUUMが管理するインフルエンサーが楽天トラベルアフィリエイトを通じて読者・視聴者に紹介し、実際に予約が入ったホテルの集計データです。全体TOP10とエリア別TOP3を掲載しています。今年6月のSALE訴求の参考にご活用ください。,楽天トラベル スーパーSALE 訴求情報まとめ ／ 内部共有用資料
example,FALSE,sale,【記入例】楽天トラベル 月末セール,2026-08-25 10:00,2026-08-31 23:59,対象宿が最大20%OFF。月末の駆け込み予約におすすめです。,https://travel.rakuten.co.jp/,,,,,,,,,,,,,,,,
2026-09-ss,TRUE,supersale,楽天トラベル スーパーSALE,2026-08-28 10:00,2026-10-01 09:59,旅行予約が毎日最大35%OFF。9/4(金)20時開幕、10/1(木)朝9:59まで。5と0のつく日は72時間に延長されます。,https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten,2026-08-28,2026年9月,,RAKUTEN TRAVEL SUPER SALE 2026,"旅行予約が毎日
最大<span class=""pct"">35%</span>OFF","楽天トラベル スーパーSALEが9月4日(金)20時より開幕！
初めてのアプリ予約ならクーポン＋SALEプランで最大<strong>35%OFF</strong>。",* 5と0のつく日は今回も72時間に延長。SALE期間中に6回訪れます,▶ 今すぐチェックする,https://event.travel.rakuten.co.jp/special/supersale/?scid=af_trv_2026uurakuten,8月28日〜10月1日 ／ 全35日 ／ 汎用コピー案（チャネルに合わせて適宜調整してください）,,,,,,
