sale_id,表示順,番号,タイトル,割引表記,本文
2026-06-ss,1,POINT 01,"5と0のつく日
72時間に延長！",,3月に引き続き6月も延長開催。スーパーSALE期中含む6月中は、5と0のつく日が<strong>48h → 72h</strong>になります。
2026-06-ss,2,POINT 02,"テーマパーク
提携ホテル",最大23%OFF,SALE開催期間中に「テーマパークスペシャルオファー」を同時開催。
2026-06-ss,3,POINT 03,"チェーンスペシャル
ホテル",最大33%OFF,先行セール開始日から全会員向けのチェーンスペシャルオファーを開催。
2026-09-ss,1,POINT 01,"5と0のつく日
72時間に延長！",,今回も<strong>48h → 72h</strong>で開催。SALE期間中に<strong>6回</strong>訪れるので、投稿の山を作りやすいタイミングです。
2026-09-ss,2,POINT 02,遊び・体験,最大30%OFF,テーマパーク・水族館などのチケットも同時にセール対象。宿とセットで訴求できます。
2026-09-ss,3,POINT 03,"テーマパーク
提携ホテル",最大25%OFF,告知期間から対象。人気宿は開幕直後に埋まるため、事前の下見訴求が効きます。
